Order,VR quality,Code name
VRQ_3,Not the same as being there.,0
VRQ_7,everything looked almost empty,0
VRQ_1,I clicked the bubbles of areas but nothing happened,0
VRQ_2,Confused by second screen,0
VRQ_1,"There weren't as many shop, restaurant locations as I was expecting",0
VRQ_2,It does the opposite of what you tell it to,0
VRQ_3,It doesn't show you how hot it is there,0
VRQ_1,The controls are terrible,0
VRQ_5,Controls are difficult,0
VRQ_8,I think the images couldve been color graded more,0
VRQ_6,I think the website could better display on the home page picture of cool places,0
VRQ_5,I think there couldve been better images shown to show just how cool dubai is,0
VRQ_2,i wish it was a bit more interactive like google maps,0
VRQ_4,Not as interactive to use with trackpad,0
VRQ_7,The thumbnail photos arent great,0
VRQ_4,Looks great at night,0
VRQ_2,The feeling of being there when not,0
VRQ_1,engaging,0
VRQ_2,showing hotels,0
VRQ_3,I didn't know youtube had this,0
VRQ_7,You can watch people jumping off buildings!,0
VRQ_2,I wish I could put myself in that location.,0
VRQ_1,more water than I thought,0
VRQ_4,loves seeing the burj khalifa,0
VRQ_2,It's clear that a lot of work was put in the tourism in Dubai.,0
VRQ_2,have to be in well planed area,0
VRQ_2,Lengthy,0
VRQ_2,How much does all this cost?,0
VRQ_1,it's like google maps,0
VRQ_1,The tour reminded me of Google street view,0
VRQ_8,"It can make education more accessible, as it can be used to deliver lectures and classes to remote areas.",0
VRQ_3,The same amount of time was spent in each location,0
VRQ_2,gave options that were easy to navigate,0
VRQ_2,I could feel some kind of satisfaction.,0
VRQ_3,It gave me a good idea of how congested things were.,To increase the destiantion knowledge
VRQ_2,Expansive,0
VRQ_3,It highlighted the diversity,0
VRQ_4,Art lovers dream,0
VRQ_1,landscape view,0
VRQ_2,Nowadays this kind of technologies play a very important role for the society.,0
VRQ_1,Modern,0
VRQ_3,It’s accurate,0
VRQ_3,Accurate,0
VRQ_1,I wanted to be there,0
VRQ_3,It was intuitive,0
VRQ_4,engaging,0
VRQ_6,It was like a doll house,0
VRQ_2,Adequate,0
VRQ_3,Current,0
VRQ_1,Wasn't too long.,0
VRQ_2,Scenery,0
VRQ_2,I can see quite a bit.,0
VRQ_3,Interesting arc6,0
VRQ_3,Pedestrian,0
VRQ_3,It mve,0
VRQ_3,Where is everybody? Is this real or a virtual brochure?,0
VRQ_5,functional,0
VRQ_9,It can provide an effective way to conduct business meetings and conferences without having to travel.,0
VRQ_2,"It is an excellent way to stay connected to family and friends, even if they are far away.",0
VRQ_2,color,0
VRQ_3,Vast,0
VRQ_3,Technology,0
VRQ_3,Making me want to cool,0
VRQ_1,Possible,0
VRQ_3,The future,0
VRQ_1,smart,0
VRQ_4,so much blue color,0
VRQ_2,I like seeing foreign places,0
VRQ_3,Free footage!,0
VRQ_1,Descriptive,0
VRQ_3,architecture,0
VRQ_1,Interesting idea,0
VRQ_2,Info,0
VRQ_3,Views,0
VRQ_2,Skyscrapers,0
VRQ_1,3 D Effect,0
VRQ_2,Abundant,0
VRQ_3,Taking a vacation,0
VRQ_3,Rich,0
VRQ_4,Oasis,0
VRQ_3,personal view,0
VRQ_3,Point of view perspective,0
VRQ_4,The decor looks nice,0
VRQ_1,its new and updated,0
VRQ_4,I would love to visit,0
VRQ_7,Maybe I could go here someday!,0
VRQ_2,I'd like to explore this with my family.,0
VRQ_6,Overall it made me more inspired to visit Dubai,0
VRQ_4,Definitely a place I have to visit,0
VRQ_3,I would like to visit,0
VRQ_4,I really want to go and visit Dubai now,0
VRQ_8,I would love to go,0
VRQ_4,Wanting to visit the beach,0
VRQ_2,Might create desire to visit places,0
VRQ_4,I wish I had the money to go on a big vacation,0
