 No.,Order,VR quality,Code 2,Code 3,Code name,Comment,
36,VRQ_4,clear views,2.1,2.1.8,Clearness,,
40,VRQ_1,The image quality is really clear,2.2,2.1.8,Clearness,,
63,VRQ_3,it was clear and concise,2.1,2.1.8,Clearness,,
72,VRQ_1,The picture was crisp.,2.2,2.1.8,Clearness,,
75,VRQ_3,video was clear,2.1,2.1.8,Clearness,,
80,VRQ_3,clear views,2.1,2.1.8,Clearness,,
87,VRQ_1,Clear,2.1,2.1.8,Clearness,,
125,VRQ_3,clear image,2.1,2.1.8,Clearness,,
129,VRQ_1,The video is clear.,2.1,2.1.8,Clearness,,
130,VRQ_2,Clear,2.2,2.1.8,Clearness,,
137,VRQ_5,clear picture,2.1,2.1.8,Clearness,,
144,VRQ_3,Clear image,2.1,2.1.8,Clearness,,
147,VRQ_3,I thought that the images were very sharp and clear,2.2,2.1.8,Clearness,,
154,VRQ_1,Clear,2.1,2.1.8,Clearness,,
164,VRQ_1,Images are very clear,2.1,2.1.8,Clearness,,
165,VRQ_1,Clear images,2.1,2.1.8,Clearness,,
175,VRQ_4,clear picture,2.1,2.1.8,Clearness,,
178,VRQ_1,Very clear picture,2.1,2.1.8,Clearness,,
202,VRQ_1,Clear images,2.1,2.1.8,Clearness,,
208,VRQ_3,I enjoyed how clear the images were.,2.1,2.1.8,Clearness,,
257,VRQ_2,The video quality is high and the image is clear.,2.2,2.1.8,Clearness,,
262,VRQ_3,the picture was very clear and lifelike,2.5,2.1.8,Clearness,,
271,VRQ_2,the images were clear,2.1,2.1.8,Clearness,,
278,VRQ_1,very clear,2.2,2.1.8,Clearness,,
288,VRQ_1,Clear images,2.1,2.1.8,Clearness,,
291,VRQ_1,"Clarity in the picture, even when zooming",2.2,2.1.8,Clearness,,
293,VRQ_2,Video images were clear,2.1,2.1.8,Clearness,,
308,VRQ_1,I can see the place clearly,2.1,2.1.8,Clearness,,
313,VRQ_3,The views are very clear,2.1,2.1.8,Clearness,,
344,VRQ_3,Clarity,2.1,2.1.8,Clearness,,
345,VRQ_1,Video clarity was very good.,2.1,2.1.8,Clearness,,
355,VRQ_2,clear,2.1,2.1.8,Clearness,,
360,VRQ_1,How clear images were,2.1,2.1.8,Clearness,,
366,VRQ_1,it was clear,2.1,2.1.8,Clearness,,
382,VRQ_1,clear view,2.1,2.1.8,Clearness,,
55,VRQ_1,neat,Unclear,2.1.9,Cleaness and neatness,?,
8,VRQ_2,Clean street scenes,Destination Quality,2.1.9,Cleaness and neatness,,
11,VRQ_3,Looked clean,2.1,2.1.9,Cleaness and neatness,,
20,VRQ_3,The scenery is clean and attractive,Destination Quality,2.1.9,Cleaness and neatness,,
37,VRQ_3,clean,2.1,2.1.9,Cleaness and neatness,,
45,VRQ_2,It was very clean,2.1,2.1.9,Cleaness and neatness,,
55,VRQ_2,clean,2.1,2.1.9,Cleaness and neatness,,
79,VRQ_4,how clean it is,2.1,2.1.9,Cleaness and neatness,,
139,VRQ_1,Very clean,2.2,2.1.9,Cleaness and neatness,,
231,VRQ_6,I think the aesthetic is neat,2.1,2.1.9,Cleaness and neatness,,
304,VRQ_4,everything was clean,2.1,2.1.9,Cleaness and neatness,,
305,VRQ_3,Neat,3,2.1.9,Cleaness and neatness,,
334,VRQ_2,Clean,2.6,2.1.9,Cleaness and neatness,,
343,VRQ_3,Clean,2.2,2.1.9,Cleaness and neatness,,
5,VRQ_1,clean,unclear,2.1.9,Cleaness and neatness,,
9,VRQ_3,I enjoyed seeing the waterline,Destination Quality,2.2.1,Enjoyment,,
58,VRQ_2,"I am really enjoying exploring on this interface, more than google maps or street view",2.3,2.2.1,Enjoyment,,
82,VRQ_3,Enjoyable,2.3,2.2.1,Enjoyment,,
187,VRQ_3,enjoy from anywhere,2.3,2.2.1,Enjoyment,,
270,VRQ_3,I enjoyed seeing the city of dubai,2.3,2.2.1,Enjoyment,,
283,VRQ_1,Enjoyable,2.3,2.2.1,Enjoyment,,
91,VRQ_3,Exotic,2.4,2.2.10,Exotic,,
146,VRQ_6,Exotic,2.4,2.2.10,Exotic,,
174,VRQ_2,unique,2.4,2.2.11,Uniqueness,,
189,VRQ_4,You could probably visit the tour multiple times and get a completely different experience.,,2.2.11,Uniqueness,,
365,VRQ_3,unique,2.4,2.2.11,Uniqueness,,
248,VRQ_4,Time went by quickly while using the tool,2.3,2.2.12,Time dissociation,,
368,VRQ_3,It's easy to lose track of time because the video is so fun.,2.3,2.2.12,Time dissociation,,
185,VRQ_3,a sense of warmth came over me as I pictured me and my family and friends visiting.,2.3,2.2.13,Warmth,,
182,VRQ_10,It can be used to create exciting virtual experiences that can be shared with friends and family.,Not Included,2.2.14,Excitement,,
4,VRQ_1,not frenetic,,2.2.15,Other positive feelings,,
26,VRQ_3,Videogame-like,2.3,2.2.15,Other positive feelings: game-like experience,,
143,VRQ_1,It was like a sweet dream.,2.3,2.2.15,Other positive feelings,,
210,VRQ_2,Seems quiet,,2.2.15,Other positive feelings,,
217,VRQ_3,I liked the atmosphere.,2.3,2.2.15,Other positive feelings,,
383,VRQ_2,it could provide entertainment for people who don’t want to travel but would like to see various places across the world,2.3,2.2.15,Other positive feelings,,
11,VRQ_1,City looked nice,Destination quality,2.2.15,Other positive feelings,,
37,VRQ_2,fancy shopping center,Destination Quality,2.2.2,Luxury experience,?,
76,VRQ_1,The beach looks fun to visit,Destination Quality,2.2.3,Fun,?,
337,VRQ_2,Zooming into destinations was fun,2.3,2.2.3,Fun ,Zoom function,
62,VRQ_1,This is fun to use.,2.3,2.2.3,Fun ,,
133,VRQ_3,It was simple and and fun to use.,2.3,2.2.3,Fun ,,
133,VRQ_2,It's fun to imagine other places but this is far better.,2.3,2.2.3,Fun ,,
185,DQ_4,A moment of enjoyable fear came over looking at the 360 views but left me wanting more.,2.3,2.2.3,Fun ,,
188,VRQ_3,navigation was fun,2.3,2.2.3,Fun ,,
192,VRQ_2,fun,2.3,2.2.3,Fun ,,
194,VRQ_2,Had fun a lot,2.3,2.2.3,Fun ,,
228,VRQ_3,It seems like a fun place to celebrate success in life,2,2.2.3,Fun,,
229,VRQ_2,Fun to fly around,2.3,2.2.3,Fun ,,
235,VRQ_3,Fun,2.3,2.2.3,Fun ,,
250,VRQ_2,It was fun to play around with,2.3,2.2.3,Fun ,,
338,DQ_2,It looks like alot of fun just from the VR,2.3,2.2.3,Fun ,,
340,VRQ_3,fun,2.3,2.2.3,Fun ,,
342,VRQ_1,it was fun,2.3,2.2.3,Fun ,,
354,VRQ_1,It was fun,2.3,2.2.3,Fun ,,
374,VRQ_2,Fun,2.3,2.2.3,Fun ,,
112,VRQ_4,"The ""tour mode"" is nice and relaxing.",1.5,2.2.4,Relaxing experience,Tour mode option,
82,VRQ_1,relaxing,2.3,2.2.4,Relaxing experience,,
103,VRQ_2,"Calming, serene experience",2.3,2.2.4,Relaxing experience,,
112,VRQ_5,This entire experience is relaxing!,2.3,2.2.4,Relaxing experience,,
121,VRQ_3,Relaxing atmosphere,2.3,2.2.4,Relaxing experience,,
126,VRQ_1,Relaxing,2.3,2.2.4,Relaxing experience,,
170,VRQ_1,This is a very relaxing experience,2.3,2.2.4,Relaxing experience,,
182,VRQ_4,"It can help to boost mental health, as it can be used for relaxation and mindfulness.",2.3,2.2.4,Relaxing experience,,
189,VRQ_10,It's a very calming experience.,2.3,2.2.4,Relaxing experience,,
204,VRQ_2,this makes me feel more at ease regarding my anxiety of visiting unknown places,2.9,2.2.4,Relaxing experience,,
213,VRQ_2,Everything seemed calm and peaceful,2.3,2.2.4,Relaxing experience,,
214,VRQ_3,It also allows more comfort when visiting certain places.,2.9,2.2.4,Relaxing experience,,
252,VRQ_2,It was relaxing,2.3,2.2.4,Relaxing experience,,
252,VRQ_3,Not loud or obnoxious,2.3,2.2.4,Relaxing experience,,
261,VRQ_3,It was relaxing,2.3,2.2.4,Relaxing experience,,
267,VRQ_1,very relaxing,2.3,2.2.4,Relaxing experience,,
306,VRQ_4,the palms were relaxing to look at,2.3,2.2.4,Relaxing experience,,
2,VRQ_2,The images were interesting,2.8,2.2.5,Interesting experience,,
5,VRQ_3,interesting,2.8,2.2.5,Interesting experience,,
12,VRQ_1,interesting,2.8,2.2.5,Interesting experience,,
38,VRQ_6,How interesting!,2.8,2.2.5,Interesting experience,,
38,VRQ_9,This is so intriguing!,2.8,2.2.5,Interesting experience,,
53,VRQ_2,interesting,3,2.2.5,Interesting experience,,
56,VRQ_2,Interesting,3,2.2.5,Interesting experience,,
66,VRQ_2,looks very interesting,3,2.2.5,Interesting experience,,
83,VRQ_3,Interesting,2.8,2.2.5,Interesting experience,,
149,VRQ_1,It's interesting.,2.3,2.2.5,Interesting experience,,
174,VRQ_1,interesting,2.3,2.2.5,Interesting experience,,
190,VRQ_3,Interesting virtual tour,2.8,2.2.5,Interesting experience,,
213,VRQ_3,Was interesting seeing the sights of dubai,2.8,2.2.5,Interesting experience,,
223,VRQ_3,amusing,2.3,2.2.5,Interesting experience,,
232,VRQ_3,It's interesting,2.8,2.2.5,Interesting experience,,
236,VRQ_2,Interesting,3,2.2.5,Interesting experience,,
268,VRQ_1,Interesting,2.3,2.2.5,Interesting experience,,
300,VRQ_1,It was interesting.,2.3,2.2.5,Interesting experience,,
305,VRQ_2,Interesting,3,2.2.5,Interesting experience,,
323,VRQ_2,Interesting,3,2.2.5,Interesting experience,,
355,VRQ_3,interesting,2.8,2.2.5,Interesting experience,,
377,VRQ_2,Interesting,3,2.2.5,Interesting experience,,
392,VRQ_2,The sites looked interesting,2.8,2.2.5,Interesting experience,,
290,VRQ_2,Adventurous,2.3,2.2.6,Adventurous experience,,
340,VRQ_2,Adventurous,2.3,2.2.6,Adventurous experience,,
374,VRQ_3,Adventurous,2.3,2.2.6,Adventurous experience,,
71,VRQ_1,The quality of the realism of the images is impressive.,2.5,2.2.7,Impressive experience,Immersion,
39,VRQ_1,"The graphic visuals are impressive ""lifelike""",2.5,2.2.7,Impressive experience,Lifelike? immersion,
38,VRQ_4,This is amazing!,3,2.2.7,Impressive experience,,
133,VRQ_1,Great experience watching those juys jump off the tower.,2.3,2.2.7,Impressive experience,,
188,VRQ_1,amazing experience,2.3,2.2.7,Impressive experience,,
225,VRQ_1,impressive,2.3,2.2.7,Impressive experience,,
238,VRQ_1,Amazing,2.3,2.2.7,Impressive experience,,
244,VRQ_1,That was amazing. Wow.,2.7,2.2.7,Impressive experience,,
273,VRQ_2,The VR tech is amazing,3,2.2.7,Impressive experience,,
332,VRQ_4,Amazing,3,2.2.7,Impressive experience,,
365,VRQ_2,amazing,3,2.2.7,Impressive experience,,
2,VRQ_3,I would like to learn more,2.8,2.2.8,Curiosity,,
35,VRQ_3,I would try it again,2.8,2.2.8,Curiosity,,
53,VRQ_3,curious,2.8,2.2.8,Curiosity,,
109,VRQ_2,looking at all the places to visit peeked my interest.,2.3,2.2.8,Curiosity,,
124,VRQ_2,It did make me want to check out the spaces,2.3,2.2.8,Curiosity,,
135,VRQ_5,Very inviting,2.8,2.2.8,Curiosity,,
145,VRQ_3,I would like to explore more,2.8,2.2.8,Curiosity,,
207,VRQ_3,I wish I could explore more,2.8,2.2.8,Curiosity,,
248,VRQ_3,Really neat and I want to look at it more,2.8,2.2.8,Curiosity,,
259,VRQ_3,The VR made it feel like I could learn much more about the culture of the city.,2.8,2.2.8,Curiosity,,
270,VRQ_5,I want to see more of the city and the other areas around the city,2.8,2.2.8,Curiosity,,
334,VRQ_3,Inviting,2.8,2.2.8,Curiosity,,
36,VRQ_2,cool way to see country,2.7,2.2.9,Cool (Overall),2.2.9,
38,VRQ_1,Wow!,2.7,2.2.9,Cool (Overall),2.2.9,
83,VRQ_1,Cool,2.7,2.2.9,Cool (Overall),2.2.9,
92,VRQ_3,cool,2.7,2.2.9,Cool (Overall),2.2.9,
108,VRQ_1,this is really cool,2.3,2.2.9,Cool (Overall),2.2.9,
110,VRQ_2,Cool tech,2.7,2.2.17,Cool Technology,2.2.17,
112,VRQ_1,WOW!,2.7,2.2.9,Cool (Overall),2.2.9,
144,VRQ_1,Pretty cool to show things so clear,2.7,2.2.18,Cool way to see the destination,2.2.18,
196,VRQ_2,It was cool to see the city of Dubai,2.7,2.2.18,Cool way to see the destination,2.2.18,
198,VRQ_3,seeing ground level was cool,2.7,2.2.18,Cool way to see the destination,2.2.18,
204,VRQ_1,Cool that this is available to use,1.5,2.2.18,Cool way to see the destination,2.2.18,
208,VRQ_1,It was cool to see a place I might never visit.,2.3,2.2.18,Cool way to see the destination,2.2.18,
215,VRQ_5,This is a really cool tour,2.7,2.2.9,Cool (Overall),2.2.9,
220,VRQ_2,Cool technology,2.7,2.2.17,Cool Technology,2.2.17,
231,VRQ_8,VR brings cool opportunities to people,2.7,2.2.18,Cool way to see the destination,2.2.18,
232,VRQ_2,It's cool,2.7,2.2.9,Cool (Overall),2.2.9,
249,VRQ_1,Wow,2.7,2.2.9,Cool (Overall),2.2.9,
296,VRQ_2,it looks very cool,2.7,2.2.9,Cool (Overall),2.2.9,
313,VRQ_1,It was really cool to feel like I could explore,2.3,2.2.18,Cool way to see the destination,2.2.18,
314,VRQ_1,It’s cool to see where you can’t be,2.3,2.2.18,Cool way to see the destination,2.2.18,
376,VRQ_2,Cool,2.7,2.2.9,Cool (Overall),2.2.9,
387,VRQ_2,technology makes environments look cool,2.7,2.2.17,Cool Technology,2.2.17,
36,VRQ_1,innovative,2.4,2.3.1,Innovativeness (Overall),,
216,VRQ_2,Innovation,2.4,2.3.1,Innovativeness (Overall),,
268,VRQ_2,Innovative,2.4,2.3.1,Innovativeness (Overall),,
323,VRQ_3,Innovation,2.4,2.3.1,Innovativeness (Overall),,
355,VRQ_4,innovative,2.4,2.3.1,Innovativeness (Overall),,
365,VRQ_1,innovative,2.4,2.3.1,Innovativeness (Overall),,
368,VRQ_1,Much better than just a photo,2.4,2.3.1,Innovativeness (Overall),,
250,VRQ_3,Its an interesting way to explore places you might never go,2.4,2.3.2,Good way to explore destinations,Interesting experience,
19,VRQ_2,Its a good way to tour Dubai,2.3,2.3.2,Good way to explore destinations,,
23,VRQ_1,Explore far away places,2.4,2.3.2,Good way to explore destinations,,
28,VRQ_1,A great way to get a feel for the city,2.4,2.3.2,Good way to explore destinations,,
38,VRQ_10,Gratitude for the chance to at least visit virtually,1.3,2.3.2,Good way to explore destinations,,
43,VRQ_2,Good chance to see the city,1.5,2.3.2,Good way to explore destinations,,
43,VRQ_1,Great way to visit without going there,2.4,2.3.2,Good way to explore destinations,,
78,VRQ_3,Currently this is a great advantage that tourists have to visualize certain destinations in the world.,2.4,2.3.2,Good way to explore destinations,,
78,DQ_3,It is of great importance this type of technology because in the past this incredible resource was not available,2.4,2.3.2,Good way to explore destinations,,
103,VRQ_1,Accessible for people with disability or the inability to travel,2.4,2.3.2,Good way to explore destinations,,
109,VRQ_1,this is the future of viewing places to visit.,2.4,2.3.2,Good way to explore destinations,,
136,VRQ_2,I'd never get to experience Dubai without going there in person without it,2.4,2.3.2,Good way to explore destinations,,
152,VRQ_5,Seems more advanced than people might think,2.4,1.6.1,Up to date technology,?,
182,VRQ_1,It allows people to experience new places and events from the safety and comfort of their own homes.,2.4,2.3.2,Good way to explore destinations,,
182,VRQ_5,It can be a great way to explore art and culture without having to travel.,2.4,2.3.2,Good way to explore destinations,,
214,VRQ_1,In this way s can attract more tourists as they can visualize the landscapes of the different places in the world.,2.4,2.3.2,Good way to explore destinations,,
230,VRQ_1,I just love how far we have come to be able to explore a city that most people will never afford to visit.,2.3,2.3.2,Good way to explore destinations,,
341,VRQ_3,It was exciting,2.3,2.3.2,Exciting experience,,
346,VRQ_3,Travel without leaving Home,2.4,2.3.2,Good way to explore destinations,,
348,VRQ_3,Exciting,2.3,2.3.2,Exciting experience,,
372,VRQ_1,Much better then photos alone,2.4,2.3.2,Good way to explore destinations,,
374,VRQ_1,Exciting,2.3,2.3.2,Exciting experience,,
387,VRQ_1,It is a way of knowing places without having physically visited them.,2.4,2.3.2,Good way to explore destinations,,
10,VRQ_5,So real and makes me feel like I am there,2.5,2.4.3,Presence,,
17,VRQ_3,It really feels like I am almost there.,2.5,2.4.3,Presence,,
26,VRQ_1,Realistic,2.5,2.4.1,Realness,,
39,VRQ_2,It almost felt like physically being there,2.5,2.4.3,Presence,,
63,VRQ_2,it seemed real,2.5,2.4.1,Realness,,
74,VRQ_2,gives a good feel for the physical space,2.5,2.4.1,Realness,,
87,VRQ_3,Life-like,2.5,2.4.1,Realness,,
101,VRQ_3,the layout seems to be to scale and exactly the same layout as the city of Dubai.,2.5,2.4.1,Realness,,
113,VRQ_2,realistic viewpoints,2.5,2.4.1,Realness,,
125,VRQ_2,realist feel,2.5,2.4.1,Realness,,
131,VRQ_2,it felt so real,2.5,2.4.1,Realness,,
134,VRQ_1,Realistic,2.2,2.4.1,Realness,,
142,VRQ_1,seeing thing as if you are there,2.5,2.4.3,Presence,,
145,VRQ_2,It is like an in person google maps,2.5,2.4.3,Presence,,
150,VRQ_3,It felt like I was there since there were not people in the pictures like most online videos.,2.5,2.4.3,Presence,,
173,VRQ_1,It was easy to imagine yourself there,2.5,2.4.3,Presence,,
192,VRQ_3,close to reality,2.5,2.4.1,Realness,,
194,VRQ_1,It is like a real visit.,2.5,2.4.1,Realness,?,
212,VRQ_3,gives a feel for what it is like to be there,2.5,2.4.3,Presence,,
223,VRQ_2,Very realistic,2.2,2.4.1,Realness,,
273,VRQ_3,The VR is very life like,2.5,2.4.1,Realness,,
306,VRQ_5,"the water was inviting, I could see myself on the beach",2.5,2.4.3,Presence,Destination quality?,
325,VRQ_1,It’s realistic,2.5,2.4.1,Realness,,
338,VRQ_1,It looks exactly how it would in person,2.5,2.4.3,Presence,,
370,VRQ_3,it made me feel like i was riding a dirt bike in the desert,2.5,2.4.3,Presence,,
376,VRQ_1,Realistic,2.5,2.4.1,Realness,,
381,VRQ_1,It allowed me a realistic tour,2.5,2.4.1,Realness,,
13,VRQ_2,the panoramic view was immersive,2.5,2.4.2,Immersion,2.4.2,
34,VRQ_2,I felt it could be more immersive as well,2.5,2.4.2,Immersion,2.4.2,
35,VRQ_1,It is immersive,2.5,2.4.2,Immersion,2.4.2,
57,VRQ_2,it panned through the scenes at a good pace to make it more immersive,2.5,2.4.2,Immersion,2.4.2,
63,VRQ_1,Felt immersed,2.5,2.4.2,Immersion,2.4.2,
68,VRQ_1,Immersive,2.5,2.4.2,Immersion,2.4.2,
69,VRQ_1,Immersive experience,2.5,2.4.2,Immersion,2.4.2,
71,VRQ_2,It is easy to feel immersed in this experience.,2.5,2.4.2,Immersion,2.4.2,
73,VRQ_3,It felt really immerse when I was exploring,2.5,2.4.2,Immersion,2.4.2,
80,VRQ_5,immersive,2.5,2.4.2,Immersion,2.4.2,
87,VRQ_2,Immersive,2.5,2.4.2,Immersion,2.4.2,
104,VRQ_1,I felt like it wasn't virtual.,2.5,2.4.1,Realness,2.4.1,
104,VRQ_3,I was very caught up in what I was seeing,2.5,2.2.16,Engaging experience,2.2.16,
131,VRQ_3,it felt like I am traveling in reality - wow,2.5,2.4.1,Realness,2.4.1,
131,VRQ_1,it felt like i was actually there,2.5,2.4.3,Presence,2.4.3,
136,VRQ_1,It felt like I was immersed into the destination,2.5,2.4.2,Immersion,2.4.2,
151,VRQ_3,This looks like I am there right now.,2.5,2.4.3,Presence,2.4.3,
158,VRQ_1,You could imagine being in the spaces.,2.5,2.4.3,Presence,2.4.3,
162,VRQ_2,The look into the buildings was very immersive I got a detailed look into the building and the art works it offered.,2.5,2.4.2,Immersion,"? 1.5.8	Inside-building viewpoints",
168,VRQ_3,as if you are on the ground there,2.5,2.4.3,Presence,2.4.3,
170,VRQ_2,The experience feels immersive.,2.5,2.4.2,Immersion,2.4.2,
175,VRQ_3,immersive,2.5,2.4.2,Immersion,2.4.2,
177,VRQ_3,Excellent immersion,2.5,2.4.2,Immersion,2.4.2,
178,VRQ_2,Felt like I was actually standing in the street,2.5,2.4.3,Presence,2.4.3,
182,VRQ_7,"It can provide an immersive experience for gaming, allowing players to interact with their favorite characters and worlds.",2.5,2.4.2,Immersion,2.4.2,
197,VRQ_2,I really felt like I was there,2.5,2.4.3,Presence,2.4.3,
205,VRQ_2,I felt immersed in the images,2.5,2.4.2,Immersion,2.4.2,
206,VRQ_1,immersive,2.5,2.4.2,Immersion,2.4.2,
244,VRQ_2,I felt like I was there.,2.5,2.4.3,Presence,2.4.3,
258,VRQ_1,It is very detailed and interactive so it feels like you could be in the place itself (e.g. a hotel room),2.5,2.4.3,Presence,2.4.3,
259,VRQ_2,I felt like I was visiting the museum,2.5,2.4.3,Presence,2.4.3,
259,VRQ_1,It felt like I was there touring the city.,2.5,2.4.3,Presence,2.4.3,
260,VRQ_1,it feels like I am there looking around,2.5,2.4.3,Presence,2.4.3,
280,VRQ_2,Feels like you’re really there,2.5,2.4.3,Presence,2.4.3,
282,VRQ_2,Slow to be immersed,2.5,2.4.2,Immersion,2.4.2,
290,VRQ_1,Immersive,2.5,2.4.2,Immersion,2.4.2,
312,VRQ_2,Felt like I was there,2.5,2.4.3,Presence,2.4.3,
325,VRQ_2,It’s immersive,2.5,2.4.2,Immersion,2.4.2,
330,VRQ_2,It feels like turning your head to look around because of the way the footage is shot,2.5,2.4.3,Presence,2.4.3,
330,VRQ_3,It helps you to feel like you're actually present at the location,2.5,2.4.3,Immersion,2.4.3,
333,VRQ_2,It gave me a feeling of being there.,2.5,2.4.3,Presence,2.4.3,
346,VRQ_2,Made it feel as it you was there,2.5,2.4.3,Presence,2.4.3,
387,VRQ_3,"is an immersive technology, you immerse yourself in a sea of visual sensations and new experiences",2.5,2.4.2,Immersion,2.4.2,
15,VRQ_3,It made me feel present,2.5,2.4.3,Presence,2.4.3,
31,VRQ_3,I felt as if I was really inside the shopping malls and hotel lobbies.,2.5,2.4.3,Presence,2.4.3,
67,VRQ_1,It felt like I was in Dubai,2.5,2.4.3,Presence,2.4.3,
103,VRQ_3,Excellent quality - sense of being there.,2.5,2.4.3,Presence,2.4.3,
123,VRQ_3,It feels like I am really there,2.5,2.4.3,Presence,2.4.3,
128,VRQ_1,It makes you feel like your actually there.,2.5,2.4.3,Presence,2.4.3,
348,VRQ_1,Immersive,2.5,2.4.3,Presence,2.4.3,
356,VRQ_1,It's really cool to feel like I'm actually there.,2.5,2.4.3,Presence,2.4.3,
367,VRQ_2,It feels like you are there.,2.5,2.4.3,Presence,2.4.3,
370,VRQ_1,it makes you feel like you are actually there,2.5,2.4.3,Presence,2.4.3,
372,VRQ_3,I can feel like your actually there,2.5,2.4.3,Presence,2.4.3,
4,VRQ_3,not crowded,Destination Quality,Destination Quality,,?,
8,VRQ_3,People enjoying themselves,Destination Quality,Destination Quality,,?,
91,VRQ_1,Beautiful place,Destination Quality,Destination Quality,,Beautiful place,
111,VRQ_1,The city looked beautiful.,Destination Quality,Destination Quality,,Beautiful place,
119,VRQ_1,I captured the beautiful waters and scenery.,Destination Quality,Destination Quality,,Beautiful place,
121,VRQ_1,Nice scenery,Destination Quality,Destination Quality,,Beautiful place,
143,VRQ_3,The place is beautiful.,Destination Quality,Destination Quality,,Beautiful place,
140,VRQ_2,So many majestic hotel options,Destination Quality,Destination Quality,,Hotel options,
152,VRQ_3,architecture is amazing.,Destination Quality,Destination Quality,,Impressive experience,
172,VRQ_2,The buildings were amazing,Destination Quality,Destination Quality,,Impressive experience,
207,VRQ_1,this is such an amazing beautiful place,Destination Quality,Destination Quality,,Impressive experience,
215,VRQ_3,That island design.  I can't believe this is all man made,Destination Quality,Destination Quality,,Impressive experience,
281,VRQ_2,the weather looks amazing,Destination Quality,Destination Quality,,Impressive experience,
139,VRQ_2,Seemingly no traffic,Destination Quality,Destination Quality,,Not crowed destination,
45,VRQ_3,There was barely any traffic,Destination Quality,Destination Quality,,,
59,VRQ_3,Perfect weather,Destination Quality,Destination Quality,,,
76,VRQ_3,There is a lot of water moving,Destination Quality,Destination Quality,,,
79,VRQ_1,I really like the beaches,Destination Quality,Destination Quality,,,
79,VRQ_3,the walkway around the beaches,Destination Quality,Destination Quality,,,
105,VRQ_1,Very beautiful scenery,Destination Quality,Destination Quality,,,
119,VRQ_2,It showed some of the cultural places that are available to visit.,Destination Quality,Destination Quality,,,
123,VRQ_2,the amount of attractions is large,Destination Quality,Destination Quality,,,
132,VRQ_2,Beautiful coast,Destination Quality,Destination Quality,,,
140,VRQ_4,Surrounded by vast waterways,Destination Quality,Destination Quality,,,
152,VRQ_2,Land layout is unique,Destination Quality,Destination Quality,,,
152,VRQ_1,Water looks nice,Destination Quality,Destination Quality,,,
166,VRQ_1,Beautiful architecture,Destination Quality,Destination Quality,,,
172,VRQ_1,The water was beautiful,Destination Quality,Destination Quality,,,
172,VRQ_3,The weather seemed perfect,Destination Quality,Destination Quality,,,
185,VRQ_4,How I would enjoy a boat ride around the islands.,Destination Quality,Destination Quality,,,
185,VRQ_2,How nice the air would smell,Destination Quality,Destination Quality,,,
186,VRQ_3,Love the scenery and locations,Destination Quality,Destination Quality,,,
190,VRQ_1,Beautiful scenery,Destination Quality,Destination Quality,,,
190,VRQ_2,Nice beach,Destination Quality,Destination Quality,,,
195,VRQ_3,I liked seeing the Chihuly glass exhibit,Destination Quality,Destination Quality,,,
196,VRQ_4,Exploring the interiors of certain buildings was appealing,Destination Quality,Destination Quality,,,
200,VRQ_3,"Despite the desert locale, the city felt cold/stark.",Destination Quality,Destination Quality,,,
200,VRQ_1,The city looks like a Marvel movie,Destination Quality,Destination Quality,,,
207,VRQ_2,it would be cool to visit here one day,Destination Quality,Destination Quality,,,
210,VRQ_3,Nice living pace,Destination Quality,Destination Quality,,,
211,VRQ_2,It looked so pretty at night time.,Destination Quality,Destination Quality,,Night view,
211,VRQ_1,The water was beautiful.,Destination Quality,Destination Quality,,,
215,VRQ_1,"That hotel, Atlantis, is amazing.",Destination Quality,Destination Quality,,,
215,VRQ_2,The skyline is wild.,Destination Quality,Destination Quality,,,
231,VRQ_2,Concrete jungle feel when outside,Destination Quality,Destination Quality,,,
231,VRQ_4,The buildings interiors are pretty,Destination Quality,Destination Quality,,,
231,VRQ_3,The culture looks nice when inside,Destination Quality,Destination Quality,,Inside-building view,
240,VRQ_3,It had some striking images of the architecture in a mall,Destination Quality,Destination Quality,,,
244,VRQ_4,That looks like an unusually clean city.,Destination Quality,Destination Quality,,,
244,VRQ_3,"What a beautiful, vibrant city.",Destination Quality,Destination Quality,,,
246,VRQ_2,"Dubai has a lot to do, based on this tour!",Destination Quality,Destination Quality,,,
252,VRQ_1,I like the scenery,Destination Quality,Destination Quality,,,
256,VRQ_2,The city looked modern,Destination Quality,Destination Quality,,,
256,VRQ_1,The city was beautiful at night,Destination Quality,Destination Quality,,Night view,
258,VRQ_2,"It contains many popular landmarks and hotels that would be of interest to tourists (e.g. beaches, hotels)",Destination Quality,Destination Quality,,,
266,VRQ_2,The landscapes on the virtual tour were beautiful.,Destination Quality,Destination Quality,,,
267,VRQ_2,beautiful weather,Destination Quality,Destination Quality,,,
267,VRQ_3,lovely buildings,Destination Quality,Destination Quality,,,
279,VRQ_1,Great views of the water,Destination Quality,Destination Quality,,,
281,VRQ_4,i can't believe there's an art gallery,Destination Quality,Destination Quality,,,
281,VRQ_5,look at those tall buildings!,Destination Quality,Destination Quality,,,
281,VRQ_1,the ocean is beautiful,Destination Quality,Destination Quality,,,
281,VRQ_3,the sun is out and looks warm,Destination Quality,Destination Quality,,,
281,VRQ_6,"whoa, the city looks so vast and large",Destination Quality,Destination Quality,,,
284,VRQ_3,The grandiose-ness of the city,Destination Quality,Destination Quality,,,
288,VRQ_3,The hotels were easily recognizable.,Destination Quality,Destination Quality,,,
289,VRQ_5,There were many historical and cultural places that I could visit.,Destination Quality,Destination Quality,,,
